Speed,Second1000
50000,310
40000,311
30000,313
25000,314
20000,315
15000,371
8000,681
6000,897
4000,1331
2000,2654
1000,5296
12000,462
11000,499
9000,609
10000,548
9500,569
8500,635
7500,708
7000,770
6500,830
5500,983
5000,1068
4500,1200
3500,1541
3000,1810
2500,2122
1500,3560
4800,1115
4300,1233
4200,1277
4100,1309
3900,1369
3800,1416
3700,1448
3600,1498
3400,1592
3300,1640
3200,1680
3100,1746
2900,1846
2800,1902
2700,1966
2600,2068
2400,2228
2300,2296
2200,2408
2100,2554
1900,2756
1800,2912
1700,3204
1600,3320
1400,3828
1300,4124
1200,4424
1100,4952
900,6008
800,6560
700,7632
600,8792
500,10528
400,13328
300,17696
250,21808
200,27056
150,35952
100,52432
